Nama Produk,Harga Produk,Jumlah Barang Yang Terjual,Tautan Produk,Tautan Citra
Ace - Krisbow 42x35x30 Cm Brankas Tahan Api Yb300ak - Hitam,1599000,60,https://www.tokopedia.com/aceindonesiaid/ace-krisbow-42x35x30-cm-brankas-tahan-api-yb300ak-hitam?extParam=ivf%3Dfalse%26keyword%3Dbrankas%26search_id%3D20241124041719195178596F87BB0F500G%26src%3Dsearch%26whid%3D14442066,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2024/11/19/28764ed8-8c36-4c14-ba75-4561241a57ac.jpg.webp?ect=4g
Brankas / Brangkas Uchida HS-50 Tahan Api BERGARANSI 5 Tahun,2678000,100,https://www.tokopedia.com/mutoh2000/brankas-brangkas-uchida-hs-50-tahan-api-bergaransi-5-tahun-jabodetabek-c903b?extParam=ivf%3Dfalse%26keyword%3Dbrankas%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/11/12/4e74cca5-0747-4d3e-977d-5762d57ab1d1.jpg.webp?ect=4g
Kotak Brankas TaffGUARD Uang Safebox Key Lock JJZS68,77900,8,https://www.tokopedia.com/taffware/kotak-brankas-taffguard-uang-safebox-key-lock-jjzs68?extParam=ivf%3Dfalse%26keyword%3Dbrankas%26src%3Dsearch,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg
YALE Safe Box Brankas YLV/200/DB2 ORIGINAL,1850000,13,https://www.tokopedia.com/yaleofficial/yale-safe-box-brankas-ylv-200-db2-original?extParam=cmp%3D1%26ivf%3Dfalse&src=topads,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/12/d1914f7c-e17f-4de5-8856-c36cdd013f0a.jpg.webp?ect=4g
Brankas Mini Tahan Api Box Simpan Uang Cash Barang Berharga,80200,1,https://www.tokopedia.com/afikasmarthomemks/brankas-mini-tahan-api-box-simpan-uang-cash-barang-berharga-20-x-16-x-9-cm-a573c?extParam=ivf%3Dfalse%26keyword%3Dbrankas%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/11/14/be7d303c-d8c6-4994-a4b9-1b6b1556b743.jpg.webp?ect=4g
TaffGUARD Brankas Mini Electric Pass Deposit Box +Lubang Celengan 4.6L,272900,100,https://www.tokopedia.com/taffware/taffguard-brankas-mini-electric-pass-deposit-box-lubang-celengan-4-6l?extParam=ivf%3Dfalse%26keyword%3Dbrankas%26search_id%3D20241124041719195178596F87BB0F500G%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/11/4/75de74b9-1966-4a50-bc08-cccdcfe74220.jpg.webp?ect=4g
BRANKAS DIGITAL Kozure KSB 30A Safety Deposit Box ,875000,30,https://www.tokopedia.com/kozure/brankas-digital-kozure-ksb-30a-safety-deposit-box?extParam=cmp%3D1%26ivf%3Dfalse&src=topads,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/30/2fb30676-041c-4d4f-abbf-ed2a2d5edf53.jpg.webp?ect=4g
Brankas Tahan Api dan Banjir Honeywell USA tipe 1108W garansi 7tahun,3100000,15,https://www.tokopedia.com/tokobaruofficial/brankas-tahan-api-dan-banjir-honeywell-usa-tipe-1108w-garansi-7tahun?extParam=ivf%3Dfalse%26keyword%3Dbrankas%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/7/e95481ec-7891-4e3c-ac52-0524b5024a9c.jpg.webp?ect=4g
BRANKAS MINI TAHAN API DEPOSIT BOX SIMPAN UANG CASH BARANG BERHARGA,96900,750,https://www.tokopedia.com/bstore-id/brankas-mini-tahan-api-deposit-box-simpan-uang-cash-barang-berharga-m-kunci-e9d70?extParam=ivf%3Dtrue&src=topads,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/27/78192056-f45b-4cc1-a710-798bcb4dce66.png.webp?ect=4g
Brankas Uang Brankas Penyimpanan Barang Berharga Model Buku,51400,12,https://www.tokopedia.com/afikasmarthome/brankas-uang-brankas-penyimpanan-barang-berharga-model-buku-biru-kecil?extParam=ivf%3Dfalse%26keyword%3Dbrankas%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/3/26/0880355e-5f71-4a1b-b0b1-5a000e39a9f4.png.webp?ect=4g
